Date,Open,High,Low,Close
2020-02-07,557.0,563.0,553.25,558.75
2020-02-10,558.75,560.75,551.0,552.0
2020-02-11,551.5,551.75,539.0,542.0
2020-02-12,541.0,549.0,538.25,547.5
2020-02-13,548.5,550.5,540.75,544.25
2020-02-14,544.75,549.5,542.0,542.75
2020-02-16,544.38,545.38,543.88,545.38
2020-02-18,549.25,570.75,548.0,566.75
2020-02-19,563.0,565.75,553.0,565.25
2020-02-20,565.25,567.5,558.25,560.0
2020-02-21,559.75,569.0,550.5,551.0
2020-02-24,550.25,550.5,534.0,536.25
2020-02-25,539.0,541.25,530.75,539.0
2020-02-26,539.25,542.75,534.75,540.25
2020-02-27,538.75,539.25,528.25,529.25
2020-02-28,531.0,531.25,515.5,529.0
2020-03-02,523.5,526.25,521.5,526.25
2020-03-03,523.0,534.5,523.0,528.75
2020-03-04,528.0,528.0,521.25,521.5
2020-03-05,521.25,528.5,518.5,524.25
2020-03-06,520.0,522.75,516.25,521.25
2020-03-09,516.0,524.0,513.5,522.25
2020-03-10,524.25,524.25,519.25,526.75
2020-03-11,527.25,527.5,521.0,517.25
2020-03-12,506.75,508.75,506.75,508.25
2020-03-13,509.75,509.75,506.5,514.75
2020-03-16,503.0,507.25,491.75,498.0
2020-03-17,496.25,506.5,494.5,499.25
2020-03-18,500.75,512.0,494.5,508.25
2020-03-19,508.5,540.5,508.5,535.0
2020-03-20,534.5,547.0,533.0,539.25
2020-03-23,539.5,563.25,537.25,562.5
2020-03-24,560.5,562.5,549.75,561.5
2020-03-25,560.0,583.25,556.75,580.0
2020-03-26,579.5,583.0,564.5,569.0
2020-03-27,569.5,587.0,563.5,571.25
2020-03-30,572.25,580.75,562.75,569.5
2020-03-31,569.75,575.25,564.25,568.75
2020-04-01,567.25,571.75,546.5,550.25
2020-04-02,550.25,553.25,538.25,541.75
2020-04-03,541.75,556.5,541.5,549.25
2020-04-06,550.0,561.75,549.75,555.75
2020-04-07,555.25,555.75,545.25,549.25
2020-04-08,551.0,554.5,545.0,548.25
2020-04-09,549.25,558.75,546.75,556.5
2020-04-10,558.25,558.25,558.25,558.25
2020-04-13,560.75,564.5,552.5,555.0
2020-04-14,555.75,556.75,546.0,548.75
2020-04-15,546.5,548.75,529.75,540.25
2020-04-16,538.75,545.25,528.0,529.75
2020-04-17,528.5,536.0,524.5,533.5
2020-04-20,536.0,562.0,535.25,548.75
2020-04-21,551.5,557.0,541.75,546.75
2020-04-22,547.75,549.75,538.0,543.0
2020-04-23,542.0,551.5,538.5,547.0
2020-04-24,549.25,550.75,526.0,526.75
2020-04-27,529.5,530.0,518.25,521.0
2020-04-28,523.0,528.0,517.25,526.75
2020-04-29,525.0,525.0,512.75,519.5
2020-04-30,517.0,527.5,511.0,529.75
2020-05-01,528.75,528.75,520.5,521.5
2020-05-04,516.0,526.75,516.0,524.25
2020-05-05,519.0,527.0,519.0,525.5
2020-05-06,521.25,524.0,521.25,524.75
2020-05-07,531.0,531.0,531.0,529.0
2020-05-08,533.0,533.0,533.0,529.5
2020-05-11,537.75,537.75,529.0,524.75
2020-05-12,517.62,518.12,507.88,521.75
2020-05-13,513.38,513.5,500.38,510.5
2020-05-14,500.12,506.0,496.88,510.5
2020-05-15,502.5,508.0,497.5,500.25
2020-05-18,501.5,502.75,493.75,497.0
2020-05-19,496.75,501.5,496.25,498.75
2020-05-20,499.5,517.75,496.0,513.75
2020-05-21,515.0,524.0,512.0,516.0
2020-05-22,515.0,516.25,503.25,508.75
2020-05-24,508.25,508.25,508.12,508.12
2020-05-25,504.88,504.88,504.88,504.88
2020-05-26,504.25,512.25,504.25,506.75
2020-05-27,507.75,511.75,501.25,504.5
2020-05-28,505.25,518.75,503.75,514.5
2020-05-29,513.5,522.25,511.75,520.75
2020-06-01,520.0,520.75,511.5,515.25
2020-06-02,517.0,517.25,506.75,508.0
2020-06-03,509.75,515.5,506.5,512.0
2020-06-04,512.25,529.0,512.0,523.75
2020-06-05,526.75,527.75,513.25,515.25
2020-06-08,517.0,517.75,508.5,511.5
2020-06-09,512.0,514.0,500.75,504.5
2020-06-10,505.0,509.25,502.5,506.25
2020-06-11,508.75,509.0,498.5,499.25
2020-06-12,499.0,504.75,495.25,502.0
2020-06-15,499.75,505.5,497.5,504.75
2020-06-16,506.5,507.25,491.0,496.0
2020-06-17,494.5,495.75,487.25,488.75
2020-06-18,488.5,492.0,480.5,483.5
2020-06-19,482.75,485.5,476.0,481.25
2020-06-22,480.5,486.0,477.75,485.0
2020-06-23,485.25,488.75,479.25,486.0
2020-06-24,486.75,488.0,480.0,481.25
2020-06-25,480.0,489.25,478.75,486.75
2020-06-26,486.5,487.0,468.25,474.0
2020-06-29,473.5,488.75,473.0,485.5
2020-06-30,483.75,495.5,478.5,490.0
2020-07-01,489.75,498.75,489.75,498.75
2020-07-02,498.25,499.0,486.5,490.0
2020-07-06,489.0,489.25,485.75,489.5
2020-07-07,492.75,495.0,491.5,492.25
2020-07-08,495.25,517.38,494.75,517.5
2020-07-09,530.0,537.75,520.75,526.25
2020-07-10,536.75,543.0,536.75,535.75
2020-07-13,536.0,536.0,528.0,524.75
2020-07-14,524.0,533.38,522.88,524.75
2020-07-15,527.0,551.75,526.75,550.75
2020-07-16,550.0,551.5,534.0,535.25
2020-07-17,535.75,540.0,530.75,534.75
2020-07-20,535.0,535.25,517.0,522.0
2020-07-21,520.5,531.5,518.5,527.75
2020-07-22,525.75,540.25,523.75,534.5
2020-07-23,534.75,536.0,527.0,529.5
2020-07-24,530.75,544.0,530.0,539.5
2020-07-27,538.75,539.0,526.25,527.75
2020-07-28,526.5,529.75,519.25,523.5
2020-07-29,523.5,533.25,523.5,532.75
2020-07-30,531.75,534.5,525.0,529.5
2020-07-31,528.5,535.25,528.5,531.25
2020-08-03,527.0,528.25,517.0,521.0
2020-08-04,521.0,521.25,507.75,508.25
2020-08-05,508.25,512.75,506.0,510.75
2020-08-06,510.75,515.0,500.75,501.25
2020-08-07,501.25,503.75,490.5,495.5
2020-08-10,495.25,497.25,490.0,491.0
2020-08-11,491.0,498.75,490.5,495.0
2020-08-12,495.75,498.0,488.0,491.25
2020-08-13,490.0,500.75,489.0,496.75
2020-08-14,495.5,507.75,493.5,500.0
2020-08-17,500.5,517.5,500.0,516.5
2020-08-18,516.25,517.5,503.0,507.5
2020-08-19,507.25,514.25,506.25,512.0
2020-08-20,511.75,520.25,506.5,519.5
2020-08-21,520.0,527.75,515.0,527.25
2020-08-24,527.75,533.25,516.5,520.75
2020-08-25,521.25,533.75,520.75,527.25
2020-08-26,527.0,532.75,523.25,532.0
2020-08-27,531.75,543.75,531.0,542.5
2020-08-28,543.0,547.25,536.75,539.25
2020-08-31,539.25,551.75,538.0,544.25
2020-09-01,542.5,559.25,539.25,555.75
2020-09-02,554.5,554.5,545.0,547.75
2020-09-03,550.25,550.25,542.5,543.25
2020-09-04,542.0,544.0,539.0,539.75
2020-09-08,536.25,539.5,533.5,533.25
2020-09-09,533.5,536.5,533.25,534.0
2020-09-10,544.75,548.5,539.5,540.0
2020-09-11,543.0,543.0,535.5,533.75
2020-09-14,525.0,549.25,525.0,548.5
2020-09-15,546.0,547.0,533.75,538.25
2020-09-16,535.5,543.0,533.25,542.0
2020-09-17,542.0,557.25,537.25,556.25
2020-09-18,555.75,578.0,555.5,575.0
2020-09-21,576.5,578.25,550.5,554.75
2020-09-22,553.5,567.0,550.25,558.0
2020-09-23,558.5,560.25,547.25,549.0
2020-09-24,548.0,554.25,541.0,549.75
2020-09-25,552.25,552.5,543.75,544.25
