,Date,Open,High,Low,Close,Volume,Currency,month,year,month_name
972,2015-08-13,493.0,504.75,492.0,503.25,71663,USD,8,2015,August
973,2015-08-14,503.25,512.25,497.75,506.5,50412,USD,8,2015,August
974,2015-08-17,504.75,509.25,498.5,500.5,42118,USD,8,2015,August
975,2015-08-18,499.5,503.25,493.25,494.25,38650,USD,8,2015,August
976,2015-08-19,495.0,498.5,491.0,496.25,39649,USD,8,2015,August
977,2015-08-20,495.25,507.75,495.25,506.25,39146,USD,8,2015,August
978,2015-08-21,504.0,507.0,495.75,499.5,36214,USD,8,2015,August
979,2015-08-24,498.75,504.5,486.75,503.25,38298,USD,8,2015,August
980,2015-08-25,504.75,511.25,492.5,495.0,29852,USD,8,2015,August
981,2015-08-26,498.0,499.75,488.5,489.75,24807,USD,8,2015,August
982,2015-08-27,490.25,495.5,481.75,484.25,40564,USD,8,2015,August
983,2015-08-28,484.75,487.5,476.0,477.0,20907,USD,8,2015,August
984,2015-08-31,477.0,484.0,470.75,482.5,5907,USD,8,2015,August
985,2015-09-01,482.0,488.75,481.0,484.0,1851,USD,9,2015,September
986,2015-09-02,483.75,485.75,469.25,473.0,2241,USD,9,2015,September
987,2015-09-03,473.5,473.5,456.0,456.5,1373,USD,9,2015,September
988,2015-09-04,456.75,459.0,455.5,457.75,467,USD,9,2015,September
989,2015-09-08,456.75,467.5,456.75,465.25,219,USD,9,2015,September
990,2015-09-09,465.5,470.25,463.0,462.0,164,USD,9,2015,September
991,2015-09-10,462.75,469.0,462.75,468.0,128,USD,9,2015,September
992,2015-09-11,468.5,474.5,460.75,475.5,123,USD,9,2015,September
993,2015-09-14,483.75,493.0,483.75,485.75,57,USD,9,2015,September
994,2015-09-15,500.0,503.25,492.25,494.75,58317,USD,9,2015,September
995,2015-09-16,494.75,495.25,483.0,488.25,57613,USD,9,2015,September
996,2015-09-17,488.25,489.75,480.5,481.5,41222,USD,9,2015,September
997,2015-09-18,481.25,488.75,480.0,486.75,44517,USD,9,2015,September
998,2015-09-21,485.75,499.25,480.5,496.75,67083,USD,9,2015,September
999,2015-09-22,496.5,496.75,488.25,495.5,51729,USD,9,2015,September
1000,2015-09-23,494.5,508.5,493.75,507.5,76320,USD,9,2015,September
1001,2015-09-24,507.0,509.0,496.75,497.25,55079,USD,9,2015,September
1002,2015-09-25,497.75,510.5,496.25,507.75,59650,USD,9,2015,September
1003,2015-09-28,508.5,515.5,500.0,505.5,67309,USD,9,2015,September
